lbpene,lbpent,dissim,homogen,ener,corre,gabor_ene,gabor_ent,cat
0.7505343165456512,0.7962058942973048,0.20917666492783862,0.9115739845755725,0.750824058775041,0.9994615993072158,0.7561710868293856,,8
0.7907139094788351,,0.17712571726656234,0.9257007860525537,0.7283565823276585,0.9997193829038031,0.7100479962266523,,8
0.7809746910024572,0.7026157512877964,0.184557033559381,0.9225907770515613,0.7407183734192708,0.9996907057330853,0.7340287663118338,,8
0.798272417678362,,0.15986024169709614,0.9292582811684924,0.6999637382402065,0.9998281624751436,0.6607223461669168,,8
0.7758093057043759,0.7498634395507748,0.1885737263084681,0.9206768388106417,0.6950383953196757,0.9997498517749289,0.6573869120374138,,8
0.7901188637415568,0.690558804513445,0.17029973048165536,0.9262687627215727,0.716196618056881,0.9997717827541477,0.6857781676586763,,8
0.7821821633656819,0.7086333465865937,0.1977395235611198,0.9225385227121626,0.746744874408143,0.9996091400992912,0.7495176490171457,,8
0.7704118407308319,0.7344186427688912,0.18961376282385672,0.9192996678327043,0.7474864422163239,0.9996299076092164,0.7464384631804478,,8
0.770704155677042,0.7353976914194035,0.18884541818814118,0.918792268863727,0.7372492349771755,0.9996914814274335,0.7241442138365757,,8
0.768877388334863,0.7557142694192523,0.18823139454007998,0.9168003966062168,0.7083598060959794,0.9997458826306359,0.6803771166083252,,8
0.7785840823868174,0.7147943719445924,0.1869446617979482,0.9212418876001104,0.7505665468089853,0.9996664445703753,0.7378032729443209,,8
0.7852985974629718,0.7049022496556254,0.18211180664232304,0.922877440751992,0.7286836056141244,0.9997055437977653,0.7147527990199902,,8
0.7724074011555424,,0.18945509476612762,0.9184106152894126,0.7039669671011132,0.9997464167722113,0.6711922405643227,,8
0.7348999019387326,0.8531686106589496,0.23713593288123808,0.8995480261744762,0.7064422245611105,0.9995914670039548,0.6792421611362033,,8
0.791519522989532,0.6941546829298861,0.18625456442357852,0.9260976391278795,0.7197079788729333,0.999688023334322,0.7086816881627213,,8
